Time,Channel A,Channel B
(ms),(mV),(V)

5.94114414,40.10132000,1.00424200
5.94370414,57.90887000,0.98629720
5.94626414,57.90887000,1.00424200
5.94882414,66.82027000,1.00424200
5.95138414,53.46843000,1.00424200
5.95394414,35.64562000,0.98629720
5.95650414,44.55702000,1.00424200
5.95906414,53.46843000,1.00424200
5.96162414,57.90887000,1.00424200
5.96418414,57.90887000,1.00424200
5.96674414,57.90887000,1.00424200
5.96930414,40.10132000,1.00424200
5.97186414,35.64562000,1.00424200
5.97442414,53.46843000,1.00424200
5.97698414,53.46843000,0.98629720
5.97954414,57.90887000,1.00424200
5.98210414,66.82027000,1.00424200
5.98466413,53.46843000,1.00424200
5.98722413,35.64562000,1.00424200
5.98978413,44.55702000,1.00424200
5.99234413,53.46843000,1.00424200
5.99490413,53.46843000,1.00424200
5.99746413,57.90887000,1.00424200
6.00002413,62.36457000,1.00424200
6.00258413,53.46843000,1.00424200
6.00514413,31.18991000,1.00424200
6.00770413,40.10132000,1.00424200
6.01026413,53.46843000,1.00424200
6.01282413,49.01273000,1.00424200
6.01538413,53.46843000,0.98629720
6.01794413,57.90887000,0.98629720
6.02050413,57.90887000,1.00424200
6.02306413,31.18991000,0.98629720
6.02562413,35.64562000,0.98629720
6.02818413,49.01273000,1.00424200
6.03074413,53.46843000,1.00424200
6.03330413,53.46843000,1.00424200
6.03586413,53.46843000,0.98629720
6.03842413,57.90887000,1.00424200
6.04098413,35.64562000,0.98629720
6.04354413,31.18991000,1.00424200
6.04610413,40.10132000,1.00424200
6.04866413,49.01273000,1.00424200
6.05122413,44.55702000,1.00424200
6.05378413,53.46843000,1.00424200
6.05634413,57.90887000,1.00424200
6.05890413,35.64562000,1.00424200
6.06146413,26.73421000,1.00424200
6.06402413,35.64562000,1.00424200
6.06658413,49.01273000,1.00424200
6.06914413,40.10132000,1.00424200
6.07170413,49.01273000,1.00424200
6.07426413,53.46843000,1.00424200
6.07682413,49.01273000,0.98629720
6.07938413,26.73421000,1.00424200
6.08194413,22.27851000,0.98629720
6.08450413,49.01273000,1.00424200
6.08706413,44.55702000,1.00424200
6.08962413,40.10132000,1.00424200
6.09218413,49.01273000,1.00424200
6.09474413,53.46843000,0.98629720
6.09730413,31.18991000,1.00424200
6.09986413,17.82281000,1.00424200
6.10242413,35.64562000,1.00424200
6.10498413,40.10132000,0.98629720
6.10754413,35.64562000,1.00424200
6.11010413,40.10132000,1.00424200
6.11266413,53.46843000,0.98629720
6.11522413,31.18991000,1.00424200
6.11778413,17.82281000,1.00424200
6.12034413,31.18991000,1.00424200
6.12290413,40.10132000,1.00424200
6.12546413,35.64562000,1.00424200
6.12802413,40.10132000,1.00424200
6.13058413,49.01273000,1.00424200
6.13314413,31.18991000,1.00424200
6.13570413,17.82281000,1.00424200
6.13826413,22.27851000,1.00424200
6.14082413,40.10132000,1.00424200
6.14338413,35.64562000,1.00424200
6.14594413,40.10132000,1.00424200
6.14850413,49.01273000,1.00424200
6.15106413,26.73421000,1.00424200
6.15362413,17.82281000,1.00424200
6.15618413,22.27851000,0.98629720
6.15874413,40.10132000,1.00424200
6.16130413,31.18991000,1.00424200
6.16386413,40.10132000,1.00424200
6.16642413,44.55702000,1.00424200
6.16898413,22.27851000,0.98629720
6.17154413,17.82281000,0.98629720
6.17410413,22.27851000,0.98629720
6.17666413,35.64562000,0.98629720
6.17922413,35.64562000,0.98629720
6.18178413,44.55702000,0.98629720
6.18434413,40.10132000,0.98629720
